StationID,StationName,State
KABR,Aberdeen Regional Airport,SD
KABI,Abilene Regional Airport,TX
KALS,Alamosa Muni(awos),CO
KALB,Albany International Airport,NY
KABQ,Albuquerque Intl Airport,NM
KAXN,Alexandria,MN
KAST,Astoria/Clatsop,OR
KACY,Atlantic City International Airport,NJ
KBGR,Bangor International Airport,ME
KBML,Berlin Municipal Airport,NH
KBIL,Billings/Logan Intl Airport,MT
KBHM,Birmingham International Airport,AL
KBIH,Bishop Airport,CA
KBLH,Blythe Airport,CA
KBOI,Boise Municipal,ID
KBOS,Boston,MA
KBRO,Brownsville / South Padre Island Intl Airport,TX
KBCE,Bryce Canyon,UT
KBRL,Burlington Regional Airport,IA
KCGI,Cape Girardeau Regional Airport,MO
KCAR,Caribou Municipal Airport,ME
KMKC,Charles B Wheeler Downtown Airport,MO
KCRW,Charleston,WV
KCHS,Charleston Air Force Base,SC
KCLE,Cleveland-Hopkins International Airport,OH
KCLL,College Station,TX
KCAE,Columbia Metropolitan Airport,SC
KCOU,Columbia Regional Airport,MO
KCSG,Columbus Metropolitan Airport,GA
KCRP,Corpus Christi International Airport,TX
KCVG,Covington / Cincinnati / Northern Kentucky,KY
KDAL,Dallas Love Field,TX
KDRT,Del Rio International Airport,TX
KDEN,Denver Intnl Arpt,CO
KDSM,Des Moines International Airport,IA
KDIK,Dickinson Theodore Roosevelt Regional Airport,ND
KDLN,Dillon Airport,MT
KDBQ,Dubuque Regional Airport,IA
KDLH,Duluth International Airport,MN
KELP,El Paso International Airport,TX
KEKN,Elkins-Randolph County-Jennings Randolph Field,WV
KELY,Ely/Yelland Field,NV
KEVV,Evansville Regional Airport,IN
KINL,Falls International Airport,MN
KFMN,Farmington Regional,NM
KFLO,Florence Regional Airport,SC
KFSM,Fort Smith Regional Airport,AR
KFWA,Fort Wayne International Airport,IN
KFAT,Fresno Air Terminal,CA
KGAG,Gage Airport,OK
KGCK,Garden City Regional Airport,KS
KGGW,Glasgow Intl Arpt,MT
KGLD,Goodland,KS
KGFK,Grand Forks International Airport,ND
KGRI,Grand Island,NE
KGJT,Grand Junction,CO
KGTF,Great Falls Intl Airport,MT
KBUF,Greater Buffalo International Airport,NY
KGRB,Green Bay,WI
KGSP,Greer,SC
KATL,Hartsfield-Jackson/Atlanta International Airport,GA
