ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,   Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
KABI , Abilene Regional Airport, TX, 099-41W, 32-25N, 546,       1927+14 9900+15 9900+07 2413-09 2122-22 232738 223047 243359, , , , 8 , 8 , 223
KABQ , Albuquerque Intl Airport, NM, 106-36W, 35-02N, 1631,               2117+14 2120+06 1621-14 2037-25 215041 216351 216561, , , , 1 , 1 , 216
KABR , Aberdeen Regional Airport, SD, 098-25W, 45-27N, 397,  9900 3010+07 2822+04 2827-02 2836-15 2849-27 286142 277452 268861, , , , 2 , 2 , 277
KACK , Nantucket Memorial Airport, MA, , , ,  2706 3308+05 3514-01 3026-05 2940-18 2957-30 309144 309252 308257, , , , 4 , 4 , 309
KACY , Atlantic City International Airport, NJ, 74-35W, 39-28N, 23,  2809 3116+10 2920+05 2918-01 2940-13 2948-26 306142 307651 308960, , , , 2 , 2 , 307
KAGC , Pittsburgh, PA, , , ,  2723 2924+12 2829+06 2936+00 2936-13 3048-25 297040 298249 298661, , , , 0 , 0 , 298
KALB , Albany International Airport, NY, 73-48W, 42-45N, 87,  2608 2409+07 2816+02 3019-05 2932-18 3061-30 309444 309452 298556, , , , 4 , 4 , 309
KALS , Alamosa Muni(awos), CO, 105-52W, 37-26N, 2297,                       2025+04 2030-14 2024-26 214941 215950 215860, , , , 1 , 1 , 215
KAMA , Rick Husband Amarillo Intl Airport, TX, 101-43W, 35-13N, 1099,       1830    1912+13 2319+06 2417-12 2123-22 222539 212849 224359, , , , 9 , 9 , 212
KAST , Astoria/clatsop, OR, 123-53W, 46-09N, 3,  3515 3411+09 3012+05 3013-01 3117-13 3021-24 302940 303551 294663, , , , 0 , 0 , 303
KATL , Hartsfield-jackson/atlanta International Airport, GA, 84-26W, 33-39N, 313,  2923 3125+18 3129+13 3231+06 3330-11 3221-23 302638 303047 302858, , , , 8 , 8 , 303
KAVP , Wilkes-barre / Scranton Intl Airport, PA, 75-44W, 41-20N, 293,  2615 3016+09 2716+04 2921-03 3045-15 2954-27 297942 298551 299160, , , , 2 , 2 , 298
KAXN , Alexandria, MN, , , ,  3310 3216+05 3024+04 2927-02 2947-15 2957-27 286643 287752 289061, , , , 3 , 3 , 287
KBAM , , , , , ,               0809+03 1011-04 1015-20 0815-32 045344 035849 022852, , , , 4 , 4 , 035
KBCE , Bryce Canyon, UT, , , ,                       1712+00 1730-18 1847-29 196244 196552 204856, , , , 4 , 4 , 196
KBDL , Windsor Locks, CT, 072-41W, 41-56N, 53,  2214 2207+06 2813+01 3020-05 2940-18 3066-30 309244 309552 309058, , , , 4 , 4 , 309
KBFF , Scottsbluff, NE, 103-36W, 41-52N, 1209,       1529    1927+08 2120+02 2923-13 2422-26 224142 225151 235862, , , , 2 , 2 , 225
KBGR , Bangor International Airport, ME, , , ,  9900 9900+03 3309-02 3406-08 2905-20 2906-32 990048 260553 302052, , , , 8 , 8 , 260
